Status,"Kampagnen ID",Kampagne,Kategorie,Unterkategorien,URL,"Exklusiv bei TradeTracker","Tracking URL",CPM,Klick,Lead,iLead,"Sales (EUR)","iSales (EUR)","Sales (%)","iSales (%)","App install","App start",Segment,Registrierungsdatum,Änderungsdatum,"Deep Linking",CleanLinking,"Referenz Tracking",Produkt-Feed,Suchmaschinen-Marketing,"E-Mail Marketing",Cashback,"Gutschein-, Rabatt- und Angebotsseiten",Prepayment,Segmentierung,Cookie-Laufzeit,Startdatum,Enddatum,"Lead Attritbution Modell","Verglichen mit den letzten 30 Tagen","Sales Attribution Modell","Verglichen mit den letzten 30 Tagen"
"Nicht angemeldet",#32974,4myBaby,"Baby und Kinder","Baby und Kinder > Babykleidung, Baby und Kinder > Babyprodukte",https://4mybaby.de/,ja,https://tc.tradetracker.net/?c=32974&m=0&a=390329,-,-,-,-,-,-,"3,50 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Erlaubt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",01.09.20,,Klassisch,-,Klassisch,-
Akzeptiert,#15215,Abfallscout.de,Sonstiges,"Wohnen, Haus und Garten > Garten",https://www.abfallscout.de/,nein,https://www.abfallscout.de/entsorgung/?tt=15215_0_390329_,-,-,-,-,"5,00 €",-,"3,00 %",-,-,-,Allgemein,01.01.21,10.01.21,ja,nein,ja,nein,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",18.07.14,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#29146,ACSIcampingreisen.de,"Reisen und Urlaub","Reisen und Urlaub > Sommerurlaub, Reisen und Urlaub > Camping-Reisen",https://www.ACSIcampingreisen.de/,ja,https://www.ACSIcampingreisen.de/core.sym/fe/tradetracker.php/?tt=29146_0_390329_,-,-,"4,00 €",-,-,-,"5,00 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,"Nicht gestattet","Nicht gestattet",nein,automatisch,"30 Tage",01.11.18,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#33269,"Ador DE","Mode und Accessoires","Mode und Accessoires > Senioren, Mode und Accessoires > Badekleidung, Mode und Accessoires > Nachtwäsche, Mode und Accessoires > Sportkleidung, Mode und Accessoires > Schuhe und Stiefel, Mode und Accessoires > Herren, Mode und Accessoires > Schmuck und Uhren, Mode und Accessoires > Damen, Mode und Accessoires > Handtaschen und Portemonnaies, Mode und Accessoires > Sonnenbrillen, Mode und Accessoires > Accessoires, Mode und Accessoires > Übergrößen, Mode und Accessoires > Kinderkleidung, Mode und Accessoires > Outlet, Mode und Accessoires > Jugend, Mode und Accessoires > Dessous",https://www.ador.com/,nein,https://tc.tradetracker.net/?c=33269&m=0&a=390329,-,-,-,-,-,-,"20,00 %",-,-,-,-,,,ja,nein,ja,nein,Eingeschränkt,Erlaubt,Erlaubt,Erlaubt,nein,manuell,"30 Tage",30.09.20,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#20574,"aja - Das Resort","Reisen und Urlaub","Reisen und Urlaub > Aktivreisen, Reisen und Urlaub > Singlereisen, Reisen und Urlaub > Jugendreisen, Reisen und Urlaub > Rundreisen, Reisen und Urlaub > Sportreisen, Reisen und Urlaub > Winterurlaub, Reisen und Urlaub > Städtereisen, Reisen und Urlaub > Hotels, Reisen und Urlaub > Sommerurlaub",https://www.aja.de/,nein,https://www.aja.de/urlaub/?tt=20574_0_390329_,-,-,-,-,"100,00 €",-,"10,00 %",-,-,-,-,,,ja,nein,ja,nein,Eingeschränkt,Eingeschränkt,"Nicht gestattet",Eingeschränkt,nein,automatisch,"30 Tage",18.01.16,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#15643,"Ali Express",Warenhäuser,"Mode und Accessoires > Damen, Gesundheit und Schönheit > Kosmetik & Hautpflege",https://best.aliexpress.com,nein,https://tc.tradetracker.net/?c=15643&m=0&a=390329,-,-,-,-,-,-,"6,30 %","6,30 %",-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,Erlaubt,nein,automatisch,"3 Tage",20.05.14,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#26638,AlkaVitae.de,"Gesundheit und Schönheit","Gesundheit und Schönheit > Nahrungsergänzungsmittel, Essen und Trinken > Ernährung und Nahrungsergänzungsmittel, Gesundheit und Schönheit > Vitamine, Gesundheit und Schönheit > Gesundheitsvorsorge, Gesundheit und Schönheit > Eigenversuch, Gesundheit und Schönheit > Diät",https://www.alkavitae.de,nein,https://tc.tradetracker.net/?c=26638&m=0&a=390329,-,-,-,-,-,-,"15,00 %",-,-,-,-,,,ja,nein,ja,nein,"Nicht gestattet",Eingeschränkt,"Nicht gestattet","Nicht gestattet",nein,manuell,"30 Tage",29.03.18,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#30902,Allcamps,"Reisen und Urlaub",,https://www.allcamps.de/,ja,https://www.allcamps.de/europacamp/?tt=30902_0_390329_,-,-,-,-,-,-,"3,00 %",-,-,-,-,,,ja,nein,ja,ja,"Nicht gestattet",Eingeschränkt,"Nicht gestattet","Nicht gestattet",nein,manuell,"30 Tage",25.07.19,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#23028,Allekabel.de,Elektronik,"Elektronik > Sat-Anlage, Elektronik > Zubehör, Elektronik > Computer, Elektronik > Multimedia, Elektronik > Audio und Video",https://www.allekabel.de,nein,https://tc.tradetracker.net/?c=23028&m=0&a=390329,-,-,-,-,-,-,"7,00 %",-,-,-,-,,,ja,nein,ja,ja,Eingeschränkt,Eingeschränkt,Erlaubt,"Nicht gestattet",nein,manuell,"100 Tage",14.06.16,,Klassisch,-,Klassisch,-
"Nicht angemeldet",#22941,allhair.de,"Gesundheit und Schönheit","Mode und Accessoires > Damen, Gesundheit und Schönheit > Eigenversuch, Mode und Accessoires > Herren",https://www.allhair.de/,nein,https://tc.tradetracker.net/?c=22941&m=0&a=390329,-,-,-,-,-,-,"10,50 %",-,-,-,-,,,ja,nein,ja,nein,Eingeschränkt,Eingeschränkt,Eingeschränkt,Erlaubt,nein,manuell,"40 Tage",26.09.16,,Klassisch,-,Klassisch,-
